Movie List: 
tt0088763,Back to the Future,1985,Adventure,8.5,Robert Zemeckis
tt0076759,Star Wars: Episode IV - A New Hope,1977,Action,8.6,George Lucas
tt0091059,Flight of the Navigator,1986,Adventure,6.9,Randal Kleiser
tt0158983,South Park: Bigger Longer & Uncut,1999,Animation,7.7,Trey Parker
tt0796366,Star Trek,2009,Action,7.9,J.J. Abrams
tt0083944,First Blood,1982,Action,7.7,Ted Kotcheff
tt9362722,Spider-Man: Across the Spider-Verse,2023,Animation,8.6,Joaquim Dos Santos
tt2911666,John Wick,2014,Action,7.4,Chad Stahelski
tt0104952,My Cousin Vinny,1992,Comedy,7.6,Jonathan Lynn
tt6710474,Everything Everywhere All at Once,2022,Action,7.8,Daniel Kwan
tt1959563,The Hitman's Bodyguard,2017,Action,6.9,Patrick Hughes
tt0088930,Clue,1985,Comedy,7.2,Jonathan Lynn
12345, Spirited Away, 2001, Fantasy, 8.6, Miyazaki

Tv Show List: 
tmdb4620,Eureka,2006,Sci-Fi,7.8,77
tmdb655,Star Trek: The Next Generation,1987,Sci-Fi,8.4,176
tmdb2710,It's Always Sunny in Philadelphia,2005,Comedy,8.3,169
tmdb63404,Taskmaster,2015,Comedy,8.4,142
tmdb61698,Galavant,2015,Musical,7.3,18
tmdb18347,Community,2009,Comedy,8,110
tmdb42009,Black Mirror,2011,Sci-Fi,8.3,26
tmdb66573,The Good Place,2016,Comedy,8,50
tmdb2190,South Park,1997,Animation,8.4,321
tmdb2048,The Hitchhiker's Guide to the Galaxy,1981,Comedy,8,6

Music List: 
mc0002366840,Symphony No. 9 in D minor (""Choral"") Op. 125,1824,Ludwig van Beethoven,Classical,1,3970
mw0000672462,Bad Hair Day,1996,Weird Al Yankovic,Comedy,12,2526
mw0000185616,Nevermind,1991,Nirvana,Rock,12,2558
mw0000191519,Let It Bleed,1969,The Rolling Stones,Rock,9,2533
mw0000649382,Louis Armstrong Plays W.C. Handy,1954,Louis Armstrong,Jazz,16,
